data_iniSE,casos_41007,casos_41008,casos_41009,casos_41010,casos_41020
2020-04-26,49.333333333333336,243.66666666666666,828.0,1148.0,741.3333333333334
2020-05-03,39.666666666666664,220.66666666666666,736.3333333333334,962.3333333333334,587.3333333333334
2020-05-10,26.333333333333332,183.66666666666666,603.6666666666666,801.3333333333334,466.0
2020-05-17,18.0,137.0,453.6666666666667,634.0,328.6666666666667
2020-05-24,14.666666666666666,94.33333333333333,309.0,472.0,203.33333333333334
2020-05-31,12.0,59.666666666666664,212.66666666666666,326.0,121.33333333333333
2020-06-07,10.666666666666666,49.0,161.33333333333334,224.0,85.0
2020-06-14,10.0,47.333333333333336,174.33333333333334,172.0,67.66666666666667
2020-06-21,11.333333333333334,49.0,179.66666666666666,144.0,52.666666666666664
2020-06-28,10.0,43.0,149.0,101.33333333333333,37.333333333333336
2020-07-05,11.333333333333334,31.333333333333332,97.66666666666667,61.666666666666664,22.666666666666668
2020-07-12,11.333333333333334,26.333333333333332,74.33333333333333,41.666666666666664,12.666666666666666
2020-07-19,14.0,23.666666666666668,75.66666666666667,40.0,11.666666666666666
2020-07-26,11.0,18.0,77.66666666666667,48.0,9.666666666666666
2020-08-02,10.0,16.333333333333332,77.66666666666667,54.666666666666664,10.0
2020-08-09,7.333333333333333,13.666666666666666,73.33333333333333,55.666666666666664,10.666666666666666
2020-08-16,5.0,16.333333333333332,66.0,48.0,13.333333333333334
2020-08-23,6.0,13.0,67.66666666666667,44.666666666666664,15.0
2020-08-30,5.0,11.666666666666666,75.0,52.666666666666664,17.666666666666668
2020-09-06,5.0,10.666666666666666,85.33333333333333,66.0,18.666666666666668
2020-09-13,3.6666666666666665,9.333333333333334,93.66666666666667,77.66666666666667,24.333333333333332
2020-09-20,3.0,10.0,111.66666666666667,72.0,28.333333333333332
2020-09-27,5.666666666666667,12.666666666666666,131.0,71.0,33.0
2020-10-04,6.333333333333333,14.333333333333334,146.0,69.33333333333333,32.0
2020-10-11,7.0,15.666666666666666,149.0,76.66666666666667,28.666666666666668
2020-10-18,7.0,13.0,175.66666666666666,78.0,25.666666666666668
2020-10-25,7.0,13.666666666666666,200.66666666666666,77.66666666666667,25.666666666666668
2020-11-01,8.666666666666666,12.0,228.33333333333334,85.0,26.666666666666668
2020-11-08,7.666666666666667,14.0,245.66666666666666,92.0,26.666666666666668
2020-11-15,7.333333333333333,16.333333333333332,281.0,109.66666666666667,30.0
2020-11-22,6.0,21.0,324.6666666666667,118.33333333333333,38.0
2020-11-29,5.0,22.0,336.0,122.0,43.666666666666664
2020-12-06,3.3333333333333335,20.333333333333332,345.6666666666667,115.66666666666667,46.0
2020-12-13,3.6666666666666665,18.666666666666668,326.3333333333333,95.66666666666667,37.333333333333336
2020-12-20,3.3333333333333335,16.666666666666668,301.6666666666667,81.0,29.333333333333332
